ISIN;YahooTicker;Name;Currency;Sector;Industry;Hight_52;Low_52;PeRatio;BookValue;PriceToBook;LastDividend;LastDividendYield;LastDividendDate;TSValue;KeyDate;TSDate;IndexName§  0        ;FirstDivYear;LastDivYear;DivIncreas;DivDecrease;DivGrowthSi;DivGrowthLast7;DivGrowthLast5;DivGrowthlast3;DivGrowthLast;DivYear_2017;DivYear_2018;DivYear_2019;DivYear_2020;DivYear_2021;PayoutYear_2017;PayoutYear_2018;PayoutYear_2019;PayoutYear_2020;PayoutYear_2021
US8865471085;TIF;Tiffany;USD;;;134.42;103.89;55.6562;;;;;;131.46;2021-01-14;2021-01-07;S&P500;1989;2020;26;1;117.3673469387755;0.7313432835820893;0.46835443037974667;0.18974358974358968;0.013100436681222622;1.95;2.15;2.29;2.32;;0.5571428571428572;0.7166666666666667;0.47708333333333336;0.5155555555555555;
US20605P1012;CXO;Concho Resources;USD;Energy;Oil & Gas E&P;82.9;33.13;;;;;;;69.19;2021-01-31;2021-01-12;S&P500;2020;2020;0;0;0.0;;;;;;;;;;;;;;
FR0000121501;UG.PA;Peugeot;EUR;;;23.51;8.878;10.5149;;;;;;22.41;2021-02-28;2021-01-12;Euronext100, CAC40;2001;2020;6;3;-0.6591976459700815;;;1.5625;0.5769230769230769;0.48;0.53;0.78;1.23;;0.24;0.17666666666666667;0.22941176470588237;;
GB00B0SWJX34;LSE.L;London Stock Exchange (LSE;GBp;Financial Services;Financial Data & Stock Exchanges;9487.56;5300.0;76.6904;;;;;;9618.0;2021-02-28;2021-02-26;FTSE 100;2002;2020;15;2;22.630241812059992;2.5037015790257167;3.0889830508474576;1.1162280701754386;0.5244865718799369;45.6;54.4;63.3;96.5;;;;;;
AN8068571086;SLB;Schlumberger;;Energy;Oil & Gas Equipment & Services;30.41;13.7;;8.67;2.91234;0.5;0.0198;2021-02-16;25.25;2021-04-20;2021-04-20;S&P500;1983;2021;13;7;-0.5;-0.921875;-0.9375;-0.9375;-0.8571428571428571;2.0;2.0;2.0;0.875;0.125;-1.8181818181818181;1.3333333333333333;-0.273972602739726;;
AT0000A18XM4;AMS.SW;ams;;Technology;Semiconductors;24.83;9.524;;14.999;1.0664;;;2018-06-12;16.0;2021-04-20;2021-04-21;SPI;2009;2018;5;3;-0.2034571428571429;-0.5710923076923077;-0.8440335664335663;-0.32414545454545457;0.09999654759145192;0.202757;0.223032;;;;;;;;
AT0000KTMI02;PMAG.SW;Pierer Mobility (ex KTM Industries;;Consumer Cyclical;Recreational Vehicles;81.9;29.0;46.2834;16.122;4.94356;0.5;0.0063;2021-05-05;80.0;2021-04-20;2021-04-21;SPI;2018;2020;0;0;0.0;;;;0.0;;;0.3;0.3;;;;0.125;;
BE0003470755;SOLB.BR;Solvay S.A.;EUR;Basic Materials;Chemicals;109.2;63.78;;69.767;1.48709;3.75;0.0362;2021-05-17;103.85;2021-04-20;2021-04-21;Euronext100;2003;2021;10;3;-0.44450616598155757;-0.53125;-0.5454545454545454;-0.5833333333333334;-0.6;3.45;3.6;3.75;3.75;1.5;0.3382352941176471;0.4337349397590361;3.125;-0.4032258064516129;
BE0003565737;KBC.BR;KBC Groep N.V.;EUR;Financial Services;Banks—Regional;65.66;39.46;18.3353;51.671;1.18519;0.44;0.0071;2021-05-17;61.4;2021-04-20;2021-04-21;Euronext100;2001;2020;12;4;0.7605633802816902;1.5;0.25;-0.10714285714285708;-0.2857142857142857;2.8;3.0;3.5;2.5;;0.4666666666666666;0.5;0.603448275862069;;
BE0003739530;UCB.BR;UCB S.A.;EUR;Healthcare;Biotechnology;114.45;77.32;21.7878;38.466;2.13539;1.24;0.0151;2020-05-04;82.28;2021-04-20;2021-04-21;Euronext100;2001;2020;15;3;0.9375;0.2156862745098039;0.16981132075471692;0.07826086956521747;-0.48760330578512395;1.15;1.18;2.42;1.24;;0.2875;0.28095238095238095;0.5761904761904761;;
BE0003797140;GBLB.BR;Groupe Bruxelles Lambert S.A.;EUR;Financial Services;Asset Management;92.84;66.2;35.8814;124.341;0.730089;2.5;0.0276;2021-05-04;90.9;2021-04-20;2021-04-21;Euronext100;2002;2020;18;0;1.3863636363636362;0.18867924528301888;0.12903225806451607;0.07508532423208182;0.02605863192182413;2.93;3.0;3.07;3.15;;0.6511111111111112;0.7317073170731708;0.6822222222222222;;
BE0003810273;PROX.BR;Belgacom S.A.;EUR;Communication Services;Telecom Services;20.99;15.01;10.6297;8.996;2.06425;1.4;0.0752;2021-04-28;18.59;2021-04-20;2021-04-21;Euronext100;2006;2020;3;2;-0.17127071823204423;-0.31192660550458723;0.0;0.0;0.0;1.5;1.5;1.5;1.5;;0.9375;0.9375;1.25;;
BE0974256852;COLR.BR;Etablissementen Franz Colruyt NV;EUR;Consumer Defensive;Grocery Stores;60.96;47.56;14.2083;17.435;2.8873;1.35;0.0272;2020-10-02;50.34;2021-04-20;2021-04-21;Euronext100;2001;2020;16;1;0.6071428571428573;0.3500000000000001;0.3500000000000001;0.14406779661016964;0.030534351145038195;1.18;1.22;1.31;1.35;;0.4538461538461538;0.46923076923076923;0.4678571428571429;0.43548387096774194;
BE0974258874;BEKB.BR;NV Bekaert SA;EUR;Industrials;Metal Fabrication;37.1;16.19;15.6134;25.581;1.38306;1.0;0.0281;2021-05-14;35.56;2021-04-20;2021-04-21;Euronext100;2001;2020;9;4;-0.5833333333333334;-0.17647058823529416;-0.17647058823529416;-0.3636363636363637;0.0;1.1;1.1;0.7;0.7;;0.40740740740740744;;;;
BE0974264930;AGS.BR;ageas NV;EUR;Financial Services;Insurance—Diversified;52.2;28.87;8.33993;61.804;0.817746;5.03;0.0992;2021-06-02;50.72;2021-04-20;2021-04-21;Euronext100;2003;2020;9;4;2.0113636363636362;0.20454545454545442;0.7096774193548386;0.2619047619047618;0.20454545454545442;2.1;2.1;2.2;2.65;;0.6774193548387097;0.5121951219512195;0.4313725490196079;;
BE0974293251;ABI.BR;AB InBev SA-NV (Anheuser-Busch InBev);EUR;Consumer Defensive;Beverages—Brewers;59.51;35.11;98.8448;34.491;1.66217;0.5;0.0088;2021-05-04;57.4;2021-04-20;2021-04-21;Euronext100;2002;2020;13;3;7.620689655172415;0.08695652173913052;-0.3055555555555556;-0.3055555555555556;0.38888888888888884;3.6;2.8;1.8;2.5;;0.9;1.2727272727272725;0.4;;
BMG0750C1082;AXTA;Axalta Coating Systems Ltd;USD;Basic Materials;Specialty Chemicals;31.8;17.28;60.6963;6.103;5.14173;;;;31.38;2021-04-20;2021-04-20;Berkshire Hathaway;;;;;;;;;;;;;;;;;;;
BMG3223R1088;RE;Everest Reinsurance Group;;Financial Services;Insurance—Reinsurance;265.0;157.32;20.5344;243.255;1.07883;6.2;0.0236;2021-03-16;262.43;2021-04-20;2021-04-20;S&P500;1996;2021;18;1;9.333333333333334;-0.515625;-0.6702127659574468;-0.7075471698113208;-0.75;5.05;5.3;5.75;6.2;1.55;0.44298245614035087;2.12;0.23279352226720648;;
BMG475671050;INFO;Markit;;Industrials;Consulting Services;104.28;62.2;77.8861;21.809;4.76409;0.8;0.0077;2021-01-28;103.9;2021-04-20;2021-04-20;S&P500;2020;2021;0;1;-0.7058823529411765;;;;-0.7058823529411765;;;;;0.2;;;;;
BMG491BT1088;IVZ;Invesco;;Financial Services;Asset Management;27.08;6.38;22.823;22.547;1.14383;0.62;0.024;2021-02-12;25.79;2021-04-20;2021-04-20;S&P500;1996;2021;16;9;-0.8052763819095478;-0.841025641025641;-0.8884892086330936;-0.9037267080745341;-0.7999999999999999;1.15;1.61;1.23;0.775;0.155;0.4107142857142857;0.7666666666666667;0.9461538461538461;;
BMG667211046;NCLH;Norwegian Cruise Line;;Consumer Cyclical;Travel Services;34.49;9.24;;13.795;1.93911;;;;26.75;2021-04-20;2021-04-20;S&P500;;;;;;;;;;;;;;;;;;;
BMG9001E1021;LILA;Liberty Latin America Ltd;USD;Communication Services;Telecom Services;14.64;7.55;;11.698;1.17712;;;;13.77;2021-04-20;2021-04-20;Berkshire Hathaway;;;;;;;;;;;;;;;;;;;
BMG9001E1286;LILAK;Liberty Latin America Ltd;USD;Communication Services;Telecom Services;14.93;7.465;;11.698;1.18909;;;;13.91;2021-04-20;2021-04-20;Berkshire Hathaway;;;;;;;;;;;;;;;;;;;
CA76131D1033;QSR;Restaurant Brands International Inc;USD;Consumer Cyclical;Restaurants;68.48;38.66;41.3329;7.111;9.28843;2.12;0.0321;2021-03-22;66.05;2021-04-20;2021-04-20;Berkshire Hathaway;2016;2021;4;1;-0.1451612903225806;;-0.1451612903225806;-0.7055555555555556;-0.7451923076923077;0.78;1.8;2.0;2.08;0.53;0.312;0.75;0.8333333333333334;;
CA8672241079;SU;Suncor Energy Inc;USD;Energy;Oil & Gas Integrated;23.69;10.67;;23.445;0.85434;0.67;0.0333;2021-03-03;20.03;2021-04-20;2021-04-20;Berkshire Hathaway;1995;2021;17;6;1.329497614369913;-0.8199566160520607;-0.8659127625201939;-0.8603868797308664;-0.7992744860943167;0.981;1.189;1.261;0.827;0.166;0.3633333333333333;0.5945;0.6636842105263158;;
