ISIN;YahooTicker;Name;Currency;Sector;Industry;Hight_52;Low_52;PeRatio;BookValue;PriceToBook;LastDividend;LastDividendYield;LastDividendDate;TSValue;KeyDate;TSDate;IndexName§  0        ;FirstDivYear;LastDivYear;DivIncreas;DivDecrease;DivGrowthSi;DivGrowthLast7;DivGrowthLast5;DivGrowthlast3;DivGrowthLast;DivYear_2017;DivYear_2018;DivYear_2019;DivYear_2020;DivYear_2021;PayoutYear_2017;PayoutYear_2018;PayoutYear_2019;PayoutYear_2020;PayoutYear_2021
BE0974264930;AGS.BR;ageas NV;EUR;Financial Services;Insurance—Diversified;53.02;25.13;7.87271;59.753;0.761803;2.65;0.0572;2020-11-03;46.14;2021-01-14;2021-01-12;Euronext100;2003;2020;9;4;2.0113636363636362;0.20454545454545442;0.7096774193548386;0.2619047619047618;0.20454545454545442;2.1;2.1;2.2;2.65;;0.6774193548387097;0.5121951219512195;0.4313725490196079;;
BE0974293251;ABI.BR;AB InBev SA-NV (Anheuser-Busch InBev);EUR;Consumer Defensive;Beverages—Brewers;72.7;29.025;;30.472;1.86926;1.3;0.023;2020-06-09;56.51;2021-01-14;2021-01-12;Euronext100;2002;2020;13;3;7.620689655172415;0.08695652173913052;-0.3055555555555556;-0.3055555555555556;0.38888888888888884;3.6;2.8;1.8;2.5;;0.9;1.2727272727272725;0.4;;
BMG0750C1082;AXTA;Axalta Coating Systems Ltd;USD;Basic Materials;Specialty Chemicals;31.48;12.92;75.2632;5.689;5.27861;;;;31.0;2021-01-14;2021-01-12;Berkshire Hathaway;;;;;;;;;;;;;;;;;;;
BMG3223R1088;RE;Everest Reinsurance Group;;Financial Services;Insurance—Reinsurance;294.31;157.32;14.2382;239.983;0.980069;6.2;0.026;2020-12-01;239.42;2021-01-14;2021-01-12;S&P500;1996;2020;18;0;40.333333333333336;1.8310502283105021;0.55;0.22772277227722781;0.07826086956521743;5.05;5.3;5.75;6.2;;0.44298245614035087;2.12;0.23279352226720648;;
BMG475671050;INFO;Markit;;Industrials;Consulting Services;101.45;44.81;38.7005;21.495;3.90696;0.68;0.008;2020-10-29;86.78;2021-01-14;2021-01-12;S&P500;2020;2020;0;0;0.0;;;;;;;;;;;;;;
BMG491BT1088;IVZ;Invesco;;Financial Services;Asset Management;20.415;6.38;19.0329;21.604;0.938252;0.62;0.0318;2020-11-10;19.58;2021-01-14;2021-01-12;S&P500;1996;2020;18;6;-0.026381909547738714;-0.08500590318772132;-0.41729323308270677;-0.3260869565217391;-0.36991869918699183;1.15;1.61;1.23;0.775;;0.4107142857142857;0.7666666666666667;0.9461538461538461;;
BMG667211046;NCLH;Norwegian Cruise Line;;Consumer Cyclical;Travel Services;59.78;7.03;;14.831;1.77803;;;;24.52;2021-01-14;2021-01-12;S&P500;;;;;;;;;;;;;;;;;;;
BMG9001E1021;LILA;Liberty Latin America Ltd;USD;Communication Services;Telecom Services;18.2281;7.55;;12.006;0.955356;;;;11.71;2021-01-14;2021-01-12;Berkshire Hathaway;;;;;;;;;;;;;;;;;;;
BMG9001E1286;LILAK;Liberty Latin America Ltd;USD;Communication Services;Telecom Services;18.3427;7.465;;12.006;0.930368;;;;11.35;2021-01-14;2021-01-12;Berkshire Hathaway;;;;;;;;;;;;;;;;;;;
CA76131D1033;QSR;Restaurant Brands International Inc;USD;Consumer Cyclical;Restaurants;67.33;25.08;34.8373;7.71;8.33204;2.08;0.0329;2020-12-18;62.65;2021-01-14;2021-01-12;Berkshire Hathaway;2016;2020;4;0;2.3548387096774195;;;1.6666666666666667;0.040000000000000036;0.78;1.8;2.0;2.08;;0.312;0.75;0.8333333333333334;;
