BE0974293251;AB InBev SA-NV (Anheuser-Busch InBev);ab_inbev;;;
FR0000120404;Accor S.A.;accor;;;
NL0000303709;AEGON N.V.;aegon;;;
FR0010340141;Aeroports de Paris ADPAct.;aeroports_de_paris_adpact;;;
BE0974264930;ageas NV;ageas_nv;;;
FR0000031122;Air France-KLM;air_france-klm;;;
FR0000120073;Air Liquide S.A.;air_liquide;;;
NL0000235190;Airbus SE (ex EADS);airbus;;;
NL0013267909;Akzo Nobel N.V.;akzo_nobel;;;
FR0010220475;Alstom S.A.;alstom;;;
NL0010273215;ASML NV;asml;;;
FR0000120628;AXA S.A.;axa;;;
BE0003810273;Belgacom S.A.;belgacom;;;
FR0000131104;BNP Paribas S.A.;bnp_paribas;;;
FR0000120503;Bouygues S.A.;bouygues;;;
FR0006174348;Bureau Veritas Registre International de Classification de Navires et d'Aeronefs S.A.;bureau_veritas_registre_international_de_classification_de_navires_et_daeronefs;;;
FR0000125338;Cap Gemini S.A.;cap_gemini;;;
FR0000120172;Carrefour S.A.;carrefour;;;
FR0000125585;Casino Guichard-Perrachon et Cie. S.A.;casino_guichard-perrachon_et_cie;;;
FR0000130403;Christian Dior S.A.;christian_dior;;;
FR0000120222;CNP Assurances S.A.;cnp_assurances;;;
FR0000121964;Compagnie Foncière Klépierre S.A. (Klepierre S.A.);compagnie_foncière_klépierre;;;
FR0000045072;Crédit Agricole S.A. (Credit Agricole);crédit_agricole;;;
FR0000120644;Danone S.A.;danone;;;
FR0000130650;Dassault Systèmes S.A.;dassault_systemes;;;
NL0000009827;DSM NV;dsm;;;
FR0010908533;EDENRED SA;edenred_sa;;;
FR0010242511;EDF (Electricité de France);edf;;;
ES0127797019;EDP Renovaveis, SA;edp_renovaveis;;;
FR0000130452;Eiffage S.A.;eiffage;;;
FR0010208488;Engie (ex GDF Suez);engie;;;
FR0000131757;Eramet;eramet;;;
FR0000121667;EssilorLuxottica;essilorluxotica;;;
BE0974256852;Etablissementen Franz Colruyt NV;etablissementen_franz_colruyt_nv;;;
FR0010221234;Eutelsat CommunicationsAct.;eutelsat_communicationsact;;;
NL0000352565;Fugro N.V.;fugro;;;
PTGAL0AM0009;GALP Energia,SAReg.Shs -B-;galp_energia,sareg_b;;;
FR0010040865;Gecina S.A.;gecina;;;
BE0003797140;Groupe Bruxelles Lambert S.A. (GBL);groupe_bruxelles_lambert;;;
PTEDP0AM0009;Grupo EDP S.A. (Electricidade de Portugal S.A.);edp_1;;;
NL0000009165;Heineken N.V.;heineken;;;
FR0000052292;Hermès (Hermes International);hermès;;;
FR0000035081;ICADE SA;icade;;;
FR0004035913;ILIAD SA;iliad_1;;;
FR0000120859;Imerys S.A.;imerys;;;
NL0011821202;ING Group;ing;;;
FR0000077919;JCDecaux S.A. (JC Decaux S.A.);jcdecaux;;;
PTJMT0AE0001;Jeronimo Martins SGPS S.A.;jeronimo_martins_sgps;;;
BE0003565737;KBC Groep N.V.;kbc_groep;;;
FR0000121485;Kering;kering;;;
NL0000009082;KPN;kpn;;;
CH0012214059;LafargeHolcim Ltd. (I);lafargeholcim;;;
FR0000130213;Lagardere S.C.A.;lagardere_sca;;;
FR0010307819;LEGRAND SA Act. Prov. OPO;legrand;;;
FR0000120321;L'Oréal S.A. (L'Oreal, L Oreal);loréal;;;
FR0000121014;LVMH Moet Hennessy Louis Vuitton S.A.;lvmh;;;
FR0000121261;Michelin (Compagnie Générale d. Etablissements Michelin SCPA);michelin;;;
FR0000120685;Natixis Banques Populaires;natixis_banques_populaires;;;
BE0974258874;NV Bekaert SA;nv_bekaert_sa;;;
FR0000133308;Orange S.A. (ex France Télécom);orange;;;
FR0000120693;Pernod Ricard S.A.;pernod_ricard;;;
FR0000121501;Peugeot S.A. (PSA Peugeot Citroën);peugeot;;;
NL0000009538;Philips N.V.;philips;;;
PTPTC0AM0009;Portugal Telecom S.A.;portugal_telecom;;;
FR0000130577;Publicis S.A.;publicis;;;
NL0000379121;Randstad Holding N.V.;randstad;;;
FR0000131906;Renault S.A.;renault;;;
FR0010451203;Rexel S.A.;rexel_1;;;
FR0000073272;SAFRAN S.A.;safran;;;
FR0000125007;Saint-Gobain S.A. (Compagnie de Saint-Gobain);saint-gobain;;;
FR0000120578;Sanofi S.A.;sanofi;;;
FR0000121972;Schneider Electric S.A.;schneider_electric;;;
FR0010411983;SCOR SE Prov. Regpt.;scor_se_prov_regpt;;;
LU0088087324;SES Global S.A. (Bearer FDRS);ses_global;;;
GB00B03MLX29;Shell (Royal Dutch Shell) (A);shell;;;
FR0000130809;Société Générale (Societe Generale);société_générale;;;
FR0000121220;Sodexo S.A.;sodexo;;;
BE0003470755;Solvay S.A.;solvay;;;
NL0000226223;STMicroelectronics N.V.;stmicroelectronics;;;
FR0010613471;Suez Environnement Company;suez_environnement_company;;;
FR0000121329;Thales S.A.;thales;;;
FR0000120271;TOTAL S.A.;total;;;
BE0003739530;UCB S.A.;ucb;;;
FR0013326246;Unibail-Rodamco;unibail-rodamco;;;
NL0000388619;Unilever N.V.;unilever;;;
FR0000120354;Vallourec S.A.;vallourec;;;
FR0000124141;Veolia Environnement S.A.;veolia_environnement;;;
FR0000125486;VINCI;vinci;;;
FR0000127771;Vivendi S.A.;vivendi;;;
NL0009432491;Vopak N.V.;vopak;;;
